tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1398,19:13.8,42:32.3,3232,Bond St & Fulton St,40.68962189,-73.98304269,301,E 2 St & Avenue B,40.72217444,-73.98368779,27507,Subscriber,1986,1
361,19:14.2,25:15.2,3142,1 Ave & E 62 St,40.7612274,-73.96094022,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,40259,Subscriber,1983,1
1339,19:20.5,41:40.4,490,8 Ave & W 33 St,40.751551,-73.993934,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,31111,Customer,1990,2
1063,19:20.9,37:04.6,3735,W 30 St & 10 Ave,40.752694,-74.002353,247,Perry St & Bleecker St,40.73535398,-74.00483091,34303,Customer,1995,1
653,19:21.1,30:14.7,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,28635,Subscriber,1981,2
250,19:26.9,23:37.2,3848,Suydam St & Broadway,40.69544,-73.93223,3879,Broadway & Madison St,40.68822,-73.91966,38723,Subscriber,1990,1
310,19:31.3,24:42.1,239,Willoughby St & Fleet St,40.69196566,-73.9813018,419,Carlton Ave & Park Ave,40.69580705,-73.97355569,18728,Subscriber,1993,2
1835,19:41.5,50:17.5,403,E 2 St & 2 Ave,40.72502876,-73.99069656,2003,1 Ave & E 18 St,40.73381219,-73.98054421,36387,Subscriber,1999,1
595,19:49.9,29:45.5,3740,W Broadway & W Houston St,40.726378,-74.000472,223,W 13 St & 7 Ave,40.73781509,-73.99994661,20996,Subscriber,1984,0
403,19:56.5,26:40.3,490,8 Ave & W 33 St,40.751551,-73.993934,3749,Lexington Ave & E 36 St,40.74757396,-73.97880077,38513,Subscriber,1991,1
1539,19:56.7,45:36.6,3842,Bushwick Ave & Dekalb Ave,40.69502,-73.92825,3399,7 St & 3 Ave,40.67260298,-73.98983002,35279,Subscriber,1990,1
292,20:02.6,24:54.9,359,E 47 St & Park Ave,40.75510267,-73.97498696,173,Broadway & W 49 St,40.76068327,-73.98452729,28326,Subscriber,1988,1
489,20:34.2,28:43.5,3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,3117,Franklin St & Dupont St,40.73564,-73.95866,40137,Subscriber,1987,2
154,20:40.8,23:15.3,250,Lafayette St & Jersey St,40.72456089,-73.99565293,3740,W Broadway & W Houston St,40.726378,-74.000472,18097,Subscriber,1989,1
551,22:14.1,31:25.2,326,E 11 St & 1 Ave,40.72953837,-73.98426726,254,W 11 St & 6 Ave,40.73532427,-73.99800419,17523,Customer,1997,1
1730,22:19.0,51:09.2,315,South St & Gouverneur Ln,40.70355377,-74.00670227,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,37001,Subscriber,1986,2
350,22:22.1,28:12.8,3052,Lewis Ave & Madison St,40.686312,-73.935775,3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977,28696,Subscriber,1986,1
